bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PB1013,B12,SKDG-90,7520,16,24,2025-10-12 19:01:28.530087,341227.257,6310702.634
PB1013,B33,SKPP-55,2951,8,10,2025-10-12 19:01:28.530094,341227.257,6310702.634
PI725,I10,FLXK-93,2315,7,9,2025-10-12 19:01:30.454781,337333.753,6292318.918
PI725,I10,FLXJ-25,6384,18,26,2025-10-12 19:01:30.454787,337333.753,6292318.918
PI725,I02,FLXY-79,4575,12,16,2025-10-12 19:01:30.454789,337333.753,6292318.918
PI995,I07,VHSX-64,4463,9,13,2025-10-12 19:01:32.305467,334511.508,6290604.937
PI995,I18,VHSX-81,11346,25,60,2025-10-12 19:01:32.305473,334511.508,6290604.937
PI995,I18,VHSY-32,18975,25,60,2025-10-12 19:01:32.305474,334511.508,6290604.937
PI995,348,VHTB-65,8573,25,60,2025-10-12 19:01:32.305475,334511.508,6290604.937
PI995,348,VHSY-45,13569,25,60,2025-10-12 19:01:32.305476,334511.508,6290604.937
PD770,D02,SVDD-95,1535,4,6,2025-10-12 19:01:34.201416,350445.693,6296796.988
PD770,D02,SVDF-66,8604,25,60,2025-10-12 19:01:34.201421,350445.693,6296796.988
PA654,214,GCBB-92,1807,8,10,2025-10-12 19:01:35.987836,346904.85,6297987.85
PA654,214,GCBB-35,10133,25,60,2025-10-12 19:01:35.987841,346904.85,6297987.85
PA654,207,SFVZ-63,436,0,3,2025-10-12 19:01:35.987843,346904.85,6297987.85
PG1210,G14,FLXP-14,3630,10,14,2025-10-12 19:01:37.621832,344042.541,6278558.276
PG1210,G14,FLXP-22,3913,11,15,2025-10-12 19:01:37.621837,344042.541,6278558.276
PF407,F08,SPVT-70,1466,0,4,2025-10-12 19:01:39.490755,356544.339,6285472.859
PF407,F08,SPVT-72,6589,16,22,2025-10-12 19:01:39.490761,356544.339,6285472.859
PF407,E11,BJFZ-59,2883,8,10,2025-10-12 19:01:39.490762,356544.339,6285472.859
PF407,E11,BJFV-27,6934,19,27,2025-10-12 19:01:39.490763,356544.339,6285472.859
PI304,113,FLXY-27,12552,25,60,2025-10-12 19:01:41.183844,334882.424,6287219.275
PI304,113,FLXW-92,13492,25,60,2025-10-12 19:01:41.183848,334882.424,6287219.275
PI304,I11,FLXZ-23,785,0,4,2025-10-12 19:01:41.183849,334882.424,6287219.275
PI304,I11,RWRP-70,5132,16,22,2025-10-12 19:01:41.183850,334882.424,6287219.275
PI304,I35,SFPF-84,1143,0,4,2025-10-12 19:01:41.183851,334882.424,6287219.275
PI304,111,FLXW-78,3889,9,13,2025-10-12 19:01:41.183852,334882.424,6287219.275
PI304,111,FLXX-67,12648,25,60,2025-10-12 19:01:41.183853,334882.424,6287219.275
PG1585,348,VHSY-36,5089,13,17,2025-10-12 19:01:42.758490,345927.985,6290128.97
PG1585,348,FLXZ-15,11862,25,60,2025-10-12 19:01:42.758496,345927.985,6290128.97
PG1585,E02,BJFS-69,10185,25,60,2025-10-12 19:01:42.758497,345927.985,6290128.97
PG1585,I05,VHTB-47,8546,25,60,2025-10-12 19:01:42.758498,345927.985,6290128.97
PG1585,I05,VHTB-36,9516,25,60,2025-10-12 19:01:42.758499,345927.985,6290128.97
PG1585,G12,THTG-85,1,0,3,2025-10-12 19:01:42.758501,345927.985,6290128.97
PG1585,G12,THTD-11,3389,9,13,2025-10-12 19:01:42.758502,345927.985,6290128.97
PG1585,H03,FLXK-47,27,0,3,2025-10-12 19:01:42.758503,345927.985,6290128.97
PG1585,H03,CJRZ-75,3110,9,11,2025-10-12 19:01:42.758504,345927.985,6290128.97
PG1585,H07,CJRY-65,46,0,3,2025-10-12 19:01:42.758506,345927.985,6290128.97
PG1585,H07,CJRZ-62,3009,8,10,2025-10-12 19:01:42.758507,345927.985,6290128.97
PG1585,H08,BJFS-63,734,0,3,2025-10-12 19:01:42.758508,345927.985,6290128.97
PG1585,E03,CJRX-38,4882,12,16,2025-10-12 19:01:42.758509,345927.985,6290128.97
PG1585,E03,BJFT-70,7094,16,24,2025-10-12 19:01:42.758510,345927.985,6290128.97
PG1585,G11,THTF-34,6337,16,22,2025-10-12 19:01:42.758511,345927.985,6290128.97
PG1585,G11,THTF-59,9270,25,60,2025-10-12 19:01:42.758512,345927.985,6290128.97
PG1585,G18,THTG-97,2787,9,11,2025-10-12 19:01:42.758513,345927.985,6290128.97
PG1585,G18,THTF-51,8419,25,60,2025-10-12 19:01:42.758525,345927.985,6290128.97
PA496,H13,CJRZ-72,3347,10,14,2025-10-12 19:01:44.732911,347391.14,6295202.758
PA496,511,TBFT-53,394,0,3,2025-10-12 19:01:44.732917,347391.14,6295202.758
PA496,511,TBFX-70,7168,18,26,2025-10-12 19:01:44.732918,347391.14,6295202.758
PA496,H07,CJRZ-67,4287,13,19,2025-10-12 19:01:44.732918,347391.14,6295202.758
PA496,H07,CJRX-51,9614,25,60,2025-10-12 19:01:44.732919,347391.14,6295202.758
PI341,J10,VHZX-90,2911,9,11,2025-10-12 19:01:49.303106,343247.77,6297216.32
PI341,I14,CJRW-83,4257,14,20,2025-10-12 19:01:49.303111,343247.77,6297216.32
PI341,I14,BJFV-17,12050,25,60,2025-10-12 19:01:49.303113,343247.77,6297216.32
PI341,I09,VHTB-43,2150,0,5,2025-10-12 19:01:49.303114,343247.77,6297216.32
PI341,I09,FLXY-96,6008,12,16,2025-10-12 19:01:49.303114,343247.77,6297216.32
PI341,I16,FLXL-30,556,0,3,2025-10-12 19:01:49.303115,343247.77,6297216.32
PI341,J13,TBFT-15,221,0,3,2025-10-12 19:01:49.303116,343247.77,6297216.32
PI341,J13,TBFS-62,5978,20,28,2025-10-12 19:01:49.303117,343247.77,6297216.32
PI341,407,FLXV-51,3576,13,19,2025-10-12 19:01:49.303118,343247.77,6297216.32
PI341,407,TBFR-32,8879,25,60,2025-10-12 19:01:49.303119,343247.77,6297216.32
PI341,401,PFVD-55,1062,0,4,2025-10-12 19:01:49.303119,343247.77,6297216.32
PI341,401,PGPT-48,10080,21,29,2025-10-12 19:01:49.303120,343247.77,6297216.32
