bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y
PD378,429,SLLZ-39,764,0,4,2025-10-17 12:00:03.929589,353767.179,6294239.668
PD378,429,SLPB-29,7061,25,60,2025-10-17 12:00:03.929596,353767.179,6294239.668
PE83,E13,VFKR-65,1417,0,5,2025-10-17 12:00:06.003320,351112.632,6287820.528
PE83,E13,VFJS-45,2956,10,14,2025-10-17 12:00:06.003325,351112.632,6287820.528
PE83,204,VFPD-41,1553,5,7,2025-10-17 12:00:06.003327,351112.632,6287820.528
PE83,204,VFPH-79,4430,13,17,2025-10-17 12:00:06.003328,351112.632,6287820.528
PE83,224,VFPL-88,5211,14,20,2025-10-17 12:00:06.003328,351112.632,6287820.528
PE83,224,VFPF-54,10825,25,60,2025-10-17 12:00:06.003329,351112.632,6287820.528
PE83,E10,BJFT-98,6797,19,27,2025-10-17 12:00:06.003330,351112.632,6287820.528
PC632,C02,LDJJ-78,1,0,3,2025-10-17 12:00:07.669658,359567.97,6303532.941
PB1691,303,FLXF-70,389,0,3,2025-10-17 12:00:09.385324,343104.392,6303648.476
PB1691,303,FLXF-28,1191,0,3,2025-10-17 12:00:09.385331,343104.392,6303648.476
PB1691,307,BJFZ-72,3048,5,7,2025-10-17 12:00:09.385332,343104.392,6303648.476
PB1691,307,TWPD-85,3294,6,8,2025-10-17 12:00:09.385333,343104.392,6303648.476
PB1691,314,VHSX-77,744,0,3,2025-10-17 12:00:09.385334,343104.392,6303648.476
PB1691,314,VHTB-47,6639,13,19,2025-10-17 12:00:09.385335,343104.392,6303648.476
PI584,I03,FLXK-93,2261,6,8,2025-10-17 12:00:11.383340,338534.314,6293841.843
PI584,I03,FLXG-14,3151,9,11,2025-10-17 12:00:11.383346,338534.314,6293841.843
PI584,I10,FLXJ-22,4038,13,19,2025-10-17 12:00:11.383348,338534.314,6293841.843
PI584,I10,FLXG-91,4258,14,20,2025-10-17 12:00:11.383349,338534.314,6293841.843
PI584,I20,FLXL-29,2646,7,9,2025-10-17 12:00:11.383350,338534.314,6293841.843
PI584,I20,FLXK-88,5674,17,25,2025-10-17 12:00:11.383351,338534.314,6293841.843
PI584,509,FDJX-77,2511,7,9,2025-10-17 12:00:11.383353,338534.314,6293841.843
PI584,509,CJRZ-89,5099,15,21,2025-10-17 12:00:11.383354,338534.314,6293841.843
PI584,423,PFYS-25,1990,6,8,2025-10-17 12:00:11.383355,338534.314,6293841.843
PI584,423,PFVC-62,4659,16,22,2025-10-17 12:00:11.383356,338534.314,6293841.843
PJ155,402,SKPK-63,3374,10,14,2025-10-17 12:00:15.597842,337321.882,6298080.368
PJ155,402,SKPK-42,6153,19,27,2025-10-17 12:00:15.597847,337321.882,6298080.368
PJ155,J07,VJJW-88,769,0,5,2025-10-17 12:00:15.597848,337321.882,6298080.368
PJ155,511,PFXC-13,5518,19,27,2025-10-17 12:00:15.597849,337321.882,6298080.368
PJ155,511,TBFR-18,8442,25,60,2025-10-17 12:00:15.597850,337321.882,6298080.368
PJ155,J15C,TBFV-97,382,0,3,2025-10-17 12:00:15.597851,337321.882,6298080.368
PJ155,426,FLXD-32,533,0,3,2025-10-17 12:00:15.597851,337321.882,6298080.368
PJ155,426,FLXS-69,798,0,4,2025-10-17 12:00:15.597852,337321.882,6298080.368
PJ155,J20,FLXK-41,2567,10,14,2025-10-17 12:00:15.597853,337321.882,6298080.368
