line_id,station_id,name,status_code,status_description,date,Hora_minuto
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-12 17:07:54.225175,17:07
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-12 17:07:54.225191,17:07
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-12 17:07:54.225193,17:07
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-12 17:07:54.225194,17:07
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-12 17:07:54.225195,17:07
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-12 17:07:54.225196,17:07
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-12 17:07:54.225197,17:07
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-12 17:07:54.225198,17:07
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-12 17:07:54.225198,17:07
L1,republica,República,0,Estación Operativa,2025-10-12 17:07:54.225199,17:07
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-12 17:07:54.225204,17:07
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-12 17:07:54.225205,17:07
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-12 17:07:54.225206,17:07
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-12 17:07:54.225216,17:07
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-12 17:07:54.225217,17:07
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-12 17:07:54.225217,17:07
L1,salvador,Salvador,0,Estación Operativa,2025-10-12 17:07:54.225218,17:07
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-12 17:07:54.225219,17:07
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-12 17:07:54.225220,17:07
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-12 17:07:54.225220,17:07
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-12 17:07:54.225221,17:07
L1,el-golf,El Golf,0,Estación Operativa,2025-10-12 17:07:54.225222,17:07
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-12 17:07:54.225222,17:07
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-12 17:07:54.225223,17:07
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-12 17:07:54.225224,17:07
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-12 17:07:54.225224,17:07
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-12 17:07:54.225225,17:07
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-12 17:07:54.225233,17:07
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-12 17:07:54.225234,17:07
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-12 17:07:54.225237,17:07
