bus_stop_code,route_id,bus_id,meters_distance,min_arrival_time,max_arrival_time,date,X,Y,Hour_minute
PC740,C22,SGPY-74,4257,11,15,2025-10-18 20:00:04.911521,351777.565,6304872.779,20:00
PB857,214,GCBB-52,1,0,3,2025-10-18 20:00:06.834311,345099.16,6301855.837,20:00
PB857,214,GCBB-74,4714,14,20,2025-10-18 20:00:06.834317,345099.16,6301855.837,20:00
PB857,B10,STHC-51,5008,5,7,2025-10-18 20:00:06.834318,345099.16,6301855.837,20:00
PB857,B04,SHCW-71,427,0,3,2025-10-18 20:00:06.834320,345099.16,6301855.837,20:00
PG2049,G08V,FLXV-14,1324,5,7,2025-10-18 20:00:08.881440,344291.0,6282933.0,20:00
PG2049,G08V,FLXV-24,4309,12,16,2025-10-18 20:00:08.881446,344291.0,6282933.0,20:00
PG2049,G23,SFVZ-70,1006,0,5,2025-10-18 20:00:08.881447,344291.0,6282933.0,20:00
PG2049,G23,SFWZ-68,4007,13,17,2025-10-18 20:00:08.881449,344291.0,6282933.0,20:00
PG1690,229,SXKV-98,4670,13,19,2025-10-18 20:00:10.890839,347045.0,6285682.865,20:00
PG1690,229,SFVZ-39,8697,25,60,2025-10-18 20:00:10.890844,347045.0,6285682.865,20:00
PG1690,302,BJFT-89,114,0,3,2025-10-18 20:00:10.890846,347045.0,6285682.865,20:00
PG1690,302,BJFT-53,6783,18,26,2025-10-18 20:00:10.890847,347045.0,6285682.865,20:00
PJ354,517,VHZZ-30,13026,25,60,2025-10-18 20:00:13.797701,340506.856,6299518.398,20:00
PJ354,517,VHZW-51,21127,25,60,2025-10-18 20:00:13.797706,340506.856,6299518.398,20:00
PJ354,503,VGVF-89,3194,8,10,2025-10-18 20:00:13.797707,340506.856,6299518.398,20:00
PJ354,503,VGVB-47,13977,25,60,2025-10-18 20:00:13.797708,340506.856,6299518.398,20:00
PJ354,507,PFXB-87,3223,11,15,2025-10-18 20:00:13.797709,340506.856,6299518.398,20:00
PJ354,507,PFXB-23,4898,18,26,2025-10-18 20:00:13.797710,340506.856,6299518.398,20:00
PJ354,518,TBFT-19,1746,0,5,2025-10-18 20:00:13.797711,340506.856,6299518.398,20:00
PJ354,518,TBFR-51,13584,25,60,2025-10-18 20:00:13.797712,340506.856,6299518.398,20:00
PJ354,B38,TBFR-20,1393,0,4,2025-10-18 20:00:13.797712,340506.856,6299518.398,20:00
PJ354,B38,TBFX-32,9858,25,60,2025-10-18 20:00:13.797713,340506.856,6299518.398,20:00
PE1266,E12,VFJT-92,910,0,3,2025-10-18 20:00:15.955530,350761.23,6285103.59,20:00
PE1266,E12,VFJL-41,6950,20,28,2025-10-18 20:00:15.955536,350761.23,6285103.59,20:00
PE1266,E16,VFJD-70,400,0,3,2025-10-18 20:00:15.955537,350761.23,6285103.59,20:00
PA287,119,BJFT-65,2057,5,7,2025-10-18 20:00:17.666358,344680.844,6294984.271,20:00
PA287,H07,BJFT-15,291,0,3,2025-10-18 20:00:17.666363,344680.844,6294984.271,20:00
PA287,H07,CJRY-80,6480,16,24,2025-10-18 20:00:17.666364,344680.844,6294984.271,20:00
PA287,345,FLXD-72,314,0,3,2025-10-18 20:00:17.666365,344680.844,6294984.271,20:00
PA287,345,BJFX-55,4843,11,15,2025-10-18 20:00:17.666366,344680.844,6294984.271,20:00
PJ347,517,VHZZ-30,10944,25,60,2025-10-18 20:00:19.210369,342423.411,6299334.214,20:00
PJ347,517,VHZW-51,19042,25,60,2025-10-18 20:00:19.210374,342423.411,6299334.214,20:00
PJ347,J02,VHXJ-82,2133,9,13,2025-10-18 20:00:19.210376,342423.411,6299334.214,20:00
PJ347,J02,VHXJ-81,6586,17,25,2025-10-18 20:00:19.210377,342423.411,6299334.214,20:00
PJ347,503,VGVF-89,1105,0,4,2025-10-18 20:00:19.210378,342423.411,6299334.214,20:00
PJ347,503,VGVB-47,11893,25,60,2025-10-18 20:00:19.210379,342423.411,6299334.214,20:00
PJ347,507,PFXB-87,1146,0,5,2025-10-18 20:00:19.210380,342423.411,6299334.214,20:00
PJ347,507,PFXB-23,2814,11,15,2025-10-18 20:00:19.210381,342423.411,6299334.214,20:00
PJ347,518,TBFR-51,11504,25,60,2025-10-18 20:00:19.210382,342423.411,6299334.214,20:00
PJ347,518,TBFT-49,15760,25,60,2025-10-18 20:00:19.210383,342423.411,6299334.214,20:00
PB1927,B11,SKDH-73,1958,9,11,2025-10-18 20:00:23.196647,338381.123,6307101.513,20:00
PB1927,308,FLXH-38,17,0,3,2025-10-18 20:00:23.196651,338381.123,6307101.513,20:00
PA220,301,BJFW-49,2210,6,8,2025-10-18 20:00:25.300067,345977.484,6299027.156,20:00
PA220,301,BJFV-21,5176,17,25,2025-10-18 20:00:25.300071,345977.484,6299027.156,20:00
PA220,509,CJRZ-89,3712,13,19,2025-10-18 20:00:25.300073,345977.484,6299027.156,20:00
