cut_region,cut_provincia,cut_comuna,comuna,año,población,km^2,densidad_poblacional
13,131,13102,Cerrillos,2025,90268,17,5310.0
13,131,13103,Cerro Navia,2025,138677,11,12607.0
13,131,13104,Conchalí,2025,135654,11,12332.0
13,131,13105,El Bosque,2025,169168,14,12083.0
13,131,13106,Estación Central,2025,223849,14,15989.0
13,131,13107,Huechuraba,2025,119487,45,2655.0
13,131,13108,Independencia,2025,155387,7,22198.0
13,131,13109,La Cisterna,2025,101398,10,10140.0
13,131,13110,La Florida,2025,407764,71,5743.0
13,131,13111,La Granja,2025,118394,10,11839.0
13,131,13113,La Reina,2025,98722,23,4292.0
13,131,13114,Las Condes,2025,345985,99,3495.0
13,131,13115,Lo Barnechea,2025,132248,49,2699.0
13,131,13116,Lo Espejo,2025,99774,8,12472.0
13,131,13117,Lo Prado,2025,101223,7,14460.0
13,131,13118,Macul,2025,138951,13,10689.0
13,131,13119,Maipú,2025,587189,138,4255.0
13,131,13120,Ñuñoa,2025,270521,17,15913.0
13,131,13121,Pedro Aguirre Cerda,2025,103434,9,11493.0
13,131,13122,Peñalolén,2025,273909,54,5072.0
13,131,13123,Providencia,2025,165134,14,11795.0
13,131,13124,Pudahuel,2025,262943,197,1335.0
13,131,13125,Quilicura,2025,279737,57,4908.0
13,131,13126,Quinta Normal,2025,142670,12,11889.0
13,131,13127,Recoleta,2025,197824,16,12364.0
13,131,13128,Renca,2025,163267,24,6803.0
13,131,13129,San Joaquín,2025,102811,10,10281.0
13,131,13130,San Miguel,2025,148387,10,14839.0
13,131,13131,San Ramón,2025,82919,6,13820.0
13,131,13132,Vitacura,2025,96671,28,3453.0
13,132,13201,Puente Alto,2025,671142,88,7627.0
13,134,13401,San Bernardo,2025,351625,153,2298.0
13,136,13604,Padre Hurtado,2025,83549,81,1031.0
