id,codinfra,comuna,bus_stop_code,nombre_par,n_servicios,servicios,coordinates
11672,L-35-6-5-OP,PADRE HURTADO,PI1923,Cam. Bajos de Sta. Cruz / esq. El Muelle,1,I35,"[-70.823088, -33.572525]"
11671,L-35-1-67-OP,PADRE HURTADO,PI1935,Cam. Sn. Alberto Hurtado / esq. Sn. Fco de Borja,1,I35,"[-70.8189, -33.571649]"
11674,L-35-5-48-NS,PADRE HURTADO,PI1926,Avenida San Ignacio / esq. Cam. Sn. A. Hurtado,1,I35,"[-70.818197, -33.57202]"
11693,L-35-5-49-SN,PADRE HURTADO,PI1925,Avenida San Ignacio / esq. Cam. Sn. A. Hurtado,1,I35,"[-70.817967, -33.57187]"
11675,L-35-5-54-NS,PADRE HURTADO,PI1927,Avenida San Ignacio / esq. San Alberto,1,I35,"[-70.816035, -33.574243]"
11692,L-35-5-53-SN,PADRE HURTADO,PI1936,Avenida San Ignacio / esq. Brasilia,1,I35,"[-70.816211, -33.57388]"
11676,L-35-5-60-NS,PADRE HURTADO,PI1928,Avenida San Ignacio / esq. Av.1� Transversal,1,I35,"[-70.813886, -33.576583]"
11677,L-35-5-68-NS,PADRE HURTADO,PI1885,Avenida San Ignacio / esq. Villa Los Troncos,1,I35,"[-70.811942, -33.578902]"
11690,L-35-5-65-SN,PADRE HURTADO,PI1895,Avenida San Ignacio / esq. Av.1� Transversal,1,I35,"[-70.812567, -33.577883]"
11691,L-35-5-61-SN,PADRE HURTADO,PI1937,Avenida San Ignacio / esq. Guacolda,1,I35,"[-70.813567, -33.576786]"
11695,L-35-7-10-NS,PADRE HURTADO,PI1922,Avenida Los Silos / esq. Brasilia,1,I35,"[-70.814283, -33.571365]"
11669,L-35-7-11-SN,PADRE HURTADO,PI1921,Avenida Los Silos / esq. Brasilia,1,I35,"[-70.814046, -33.571359]"
11696,L-35-7-18-NS,PADRE HURTADO,PI1920,Avenida Los Silos / esq. Buenos Aires,1,I35,"[-70.812107, -33.572912]"
11668,L-35-7-17-SN,PADRE HURTADO,PI1932,Avenida Los Silos / esq. R�o B�o B�o,1,I35,"[-70.812316, -33.572584]"
11673,L-35-8-5-PO,PADRE HURTADO,PI1924,Av. Sta. Herminia -Poniente / esq. Av. San Ignacio,1,I35,"[-70.821011, -33.569057]"
11670,L-35-1-61-OP,PADRE HURTADO,PI1933,Cam. Sn. Alberto Hurtado / esq. Av. Jos� Luis Caro,1,I35,"[-70.816178, -33.56975]"
11694,L-35-1-60-PO,PADRE HURTADO,PI1934,Cam. Sn. Alberto Hurtado / esq. Avenida Los Silos,1,I35,"[-70.81578, -33.569783]"
11682,L-35-11-20-NS,PADRE HURTADO,PI1930,Escult. Nicanos Plaza / esq. J. Miguel Blanco,1,I35,"[-70.809262, -33.590926]"
11681,L-35-10-20-OP,PADRE HURTADO,PI1929,Los Nogales / esq. Virginio Arias,1,I35,"[-70.809243, -33.590015]"
11683,L-35-9-20-SN,PADRE HURTADO,PI1931,Pintor Pablo Burchard / esq. Pasaje La Fuente,1,I35,"[-70.80733, -33.590756]"
11685,L-35-5-91-SN,PADRE HURTADO,PI1890,Avenida San Ignacio / esq. Psje. Oscar Castro,1,I35,"[-70.80703, -33.587243]"
11680,L-35-5-96-NS,PADRE HURTADO,PI1888,Avenida San Ignacio / esq. P. Pablo Burchard,1,I35,"[-70.806379, -33.588578]"
11684,L-35-5-95-SN,PADRE HURTADO,PI1889,Avenida San Ignacio / esq. Psje. Jos� Donoso,1,I35,"[-70.806438, -33.588289]"
11679,L-35-5-86-NS,PADRE HURTADO,PI1887,Avenida San Ignacio / esq. Calle Azahar,1,I35,"[-70.808199, -33.585395]"
11687,L-35-5-81-SN,PADRE HURTADO,PI1892,Avenida San Ignacio / esq. Israel,1,I35,"[-70.808881, -33.584024]"
11686,L-35-5-85-SN,PADRE HURTADO,PI1891,Avenida San Ignacio / esq. Victorino Lastarria,1,I35,"[-70.808257, -33.585106]"
11678,L-35-5-80-NS,PADRE HURTADO,PI1886,Avenida San Ignacio / esq. Los Jesuitas,1,I35,"[-70.809603, -33.582976]"
11688,L-35-5-79-SN,PADRE HURTADO,PI1893,Avenida San Ignacio / esq. Los Jesuitas,1,I35,"[-70.809868, -33.582287]"
11689,L-35-5-71-SN,PADRE HURTADO,PI1894,Avenida San Ignacio / esq. Los Jazmines,1,I35,"[-70.811335, -33.579768]"
11667,L-35-4-61-OP,PADRE HURTADO,PI1884,Av.Primera Transversal / esq. Avenida Los Silos,1,I35,"[-70.809845, -33.573964]"
11697,L-35-4-60-PO,PADRE HURTADO,PI1896,Av.Primera Transversal / esq. Avenida Los Silos,1,I35,"[-70.809619, -33.573931]"
11698,L-35-4-52-PO,PADRE HURTADO,PI1897,Av.Primera Transversal / esq. Quito,1,I35,"[-70.80736, -33.572061]"
11666,L-35-4-51-OP,PADRE HURTADO,PI1883,Av.Primera Transversal / esq. Quito,1,I35,"[-70.807401, -33.571934]"
11699,L-35-4-46-PO,PADRE HURTADO,PI1898,Av.Primera Transversal / esq. El Manzano,1,I35,"[-70.805836, -33.570794]"
11665,L-35-4-45-OP,PADRE HURTADO,PI1882,Av.Primera Transversal / esq. Teniente Merino,1,I35,"[-70.805385, -33.570305]"
11700,L-35-4-40-PO,PADRE HURTADO,PI1899,Parada  / Plaza El Manzano,1,I35,"[-70.803574, -33.569213]"
11664,L-35-4-35-OP,PADRE HURTADO,PI1881,Av.Primera Transversal / esq. Luis Pasteur,1,I35,"[-70.802289, -33.568032]"
