line_id,station_id,name,status_code,status_description,date
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-17 11:30:03.782977
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-17 11:30:03.782983
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-17 11:30:03.782985
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-17 11:30:03.782987
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-17 11:30:03.782988
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-17 11:30:03.782990
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-17 11:30:03.782991
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-17 11:30:03.782992
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-17 11:30:03.782993
L1,republica,República,0,Estación Operativa,2025-10-17 11:30:03.782994
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-17 11:30:03.782995
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-17 11:30:03.782996
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-17 11:30:03.782997
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-17 11:30:03.782998
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-17 11:30:03.782999
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-17 11:30:03.783000
L1,salvador,Salvador,0,Estación Operativa,2025-10-17 11:30:03.783001
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-17 11:30:03.783003
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-17 11:30:03.783007
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-17 11:30:03.783008
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-17 11:30:03.783009
L1,el-golf,El Golf,0,Estación Operativa,2025-10-17 11:30:03.783010
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-17 11:30:03.783011
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-17 11:30:03.783012
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-17 11:30:03.783014
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-17 11:30:03.783017
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-17 11:30:03.783018
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-17 11:30:03.783029
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-17 11:30:03.783030
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-17 11:30:03.783031
L2,einstein,Einstein,0,Estación Operativa,2025-10-17 11:30:03.783032
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-17 11:30:03.783033
